"112q -- Vanhojen osakeasuntojen keskihinnat ja kauppojen lukumäärät postinumeroalueittain ja rakennusvuosittain, 2010-2018"

"Postinumero","Talotyyppi","Rakennusvuosi","2010 Neliöhinta (EUR/m2)","2011 Neliöhinta (EUR/m2)","2012 Neliöhinta (EUR/m2)","2013 Neliöhinta (EUR/m2)","2014 Neliöhinta (EUR/m2)","2015 Neliöhinta (EUR/m2)","2016 Neliöhinta (EUR/m2)","2017 Neliöhinta (EUR/m2)","2018 Neliöhinta (EUR/m2)"
"00280 Ruskeasuo   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4164,4423,4661,4765,5097,5050,5152,5227,5694
"00290 Meilahden sairaala-alue   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00290 Meilahden sairaala-alue   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00300 Pikku Huopalahti   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,4572,4733,.
"00300 Pikku Huopalahti   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",4612,4133,4086,4790,4435,.,5296,5925,.
"00310 Kivihaka   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,3785,.,4358,4218,.,4747,.,.
"00310 Kivihaka   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3595,2877,3386,3252,3263,3747,4172,4391,.
"00320 Etelä-Haaga   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4031,.,4652,4709,.,.,.,5666,.
"00320 Etelä-Haaga   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,3610,3751,4058,4163,4347,4533,4385,4973
"00330 Munkkiniemi   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4678,5033,.,.,.,.,.,6176,6668
"00330 Munkkiniemi   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,4487,4647,4926,5064,5097,5192,5330,5802
"00340 Kuusisaari-Lehtisaari   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",.,.,.,.,.,.,.,.,.
"00340 Kuusisaari-Lehtisaari   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",3052,3524,.,.,3637,.,3959,.,.
"00350 Munkkivuori-Niemenmäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",4039,4021,.,4911,4814,4910,4920,5088,4940
"00350 Munkkivuori-Niemenmäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",.,3595,3914,4036,4037,4160,4373,4553,4400
"00360 Pajamäki   (Helsinki )","Kerrostalo yksiöt","Rakennusvuodet yhteensä",3548,3387,3423,.,3887,4336,5173,4594,4895
"00360 Pajamäki   (Helsinki )","Kerrostalo kaksiot","Rakennusvuodet yhteensä",2726,2966,3168,.,3471,3484,3713,3611,4149
